,precision,recall,f1-score,support
0,0.9964819700967458,0.9991181657848325,0.9977983267283135,1134.0
1,0.9315068493150684,0.8607594936708861,0.8947368421052632,79.0
2,1.0,0.5714285714285714,0.7272727272727273,7.0
3,0.9984289080911233,0.9883359253499222,0.9933567799921844,1286.0
4,0.975,0.9285714285714286,0.9512195121951219,42.0
5,0.8495297805642633,0.8495297805642633,0.8495297805642633,638.0
6,0.6796875,0.7471819645732689,0.7118384045001278,3726.0
7,0.8311258278145696,0.6275,0.7150997150997151,400.0
8,0.9283236994219654,0.887292817679558,0.9073446327683616,905.0
9,0.75,0.782608695652174,0.7659574468085106,69.0
10,0.6190223166843783,0.4508513931888545,0.5217196596506941,2584.0
11,0.6153846153846154,0.5714285714285714,0.5925925925925926,14.0
12,0.6388888888888888,0.5609756097560976,0.5974025974025974,41.0
13,0.9559748427672956,0.8660968660968661,0.9088191330343797,351.0
14,1.0,1.0,1.0,56.0
15,0.9991478483170004,0.9783062161034627,0.9886172006745363,2397.0
16,0.9825811559778306,0.9495026778882938,0.9657587548638132,3921.0
17,1.0,0.875,0.9333333333333333,8.0
18,0.9597523219814241,0.9567901234567902,0.9582689335394127,1620.0
19,0.7910447761194029,0.8943875616230565,0.83954792204325,5274.0
20,0.8551724137931035,0.6813186813186813,0.7584097859327217,182.0
21,0.8926080892608089,0.862533692722372,0.8773132282385195,1484.0
22,0.9211502782931354,0.8892537313432836,0.9049210206561361,3350.0
23,0.0,0.0,0.0,1.0
24,0.8235294117647058,0.875,0.8484848484848485,32.0
25,0.9838091922005571,0.9839804979975623,0.9838948376425525,5743.0
26,0.9577352472089314,0.9569721115537848,0.9573535273017139,1255.0
27,0.9741950216944508,0.9893320964749536,0.9817052122885744,4312.0
28,0.9857945160224645,0.9870989083691697,0.9864462809917356,3023.0
29,0.9747474747474747,0.9698492462311558,0.9722921914357683,995.0
30,0.9272727272727272,0.6986301369863014,0.796875,73.0
31,0.8442362389158441,0.8583092362646708,0.8512145748987854,5879.0
32,0.8079748163693599,0.9344660194174758,0.8666291502532358,824.0
33,0.5,0.0392156862745098,0.07272727272727272,51.0
accuracy,0.892534198933457,0.892534198933457,0.892534198933457,0.892534198933457
macro avg,0.8514737273225923,0.796224291405024,0.8140729772359137,51756.0
weighted avg,0.8918783201687559,0.892534198933457,0.8905724624277634,51756.0
